R1,R2,R3,R4,R5,R6,R7,R8,R9,Hump,Time,SPARE 1,SPARE 2,SPARE 3,SPARE 4,SPARE 5,CLEA,MRN,EVL,EFIM,LIRC,LICL,INRD,RUS,TUSC,DTR,CIN,CIN,CBL,CBS,SEL,ANS,TOLS,WALM,SAUB,ESTR,LAF,BIR,NAS,INTM,INTP,NCR,BRO,PITS,ESAL,WIL,CHBR,MIIL,THT,THTB,ESUN,WAX,CHG,RLK,FFT,LEBN,SAUH,ESUK,LFNS,CRA,RAMP,PARA,HOLD,SPARE 6,SPARE 7,SPARE 8,SPARE 9,RIP,Pull 1,Pull 2,Pull 3,Pull 4,D1,D2,D3,D4,D5,D6,D7
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LIRC (93),,LI26 (116),CBLITHB (96),ALSITH (54),LIRC (93),5:45 PM,,1 ANS,5 RAMP,2 WIL (C),,,,,1,,,17,,4,1,,1,13(C),2,,13(C),1,,1,9,4,1,2,3,,,,2,1,2,,,,,9,,2,1,,,4,2,1,,12(C),,,,,,,,ITHCBLB,Pull 2 from sp tk 4 to WIL,,,,ITHSAU,ITHALS,,,,ITHCBLB
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),WILITH (95),6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONRD(Pull INRD),Pull 5 from sp tk 3 to RAMP,,,,,ITHALS,,ONRD(48),,ITHCBLB
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),WILITH (95),6:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONRD,Pull 5 from sp tk 3 to RAMP,,,,,ITHALS,,ONRD,,ITHCBLB
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),WILITH (95),6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONRD,Pull 5 from sp tk 3 to RAMP,,,,,ITHALS,,ONRD,,ITHCBLB
WILITH (95),LI29 (81),ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),WILITH (95),6:45 PM,1 INRD,,5 RAMP(C),,,,,5,2,1,,48(C),2,1,2,,9,1,1,1,2,2,,12,3,2,1,3,3,1,2,,3,3,,5,,3,1,3,1,4,2,1,1,5,3,2,1,,,,,,,,5,ONRD,Pull 5 from sp tk 3 to RAMP,,,,,ITHALS,,ONRD,,ITHCBLB
,LI29 (81),ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),LI29 (81),7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHRUS(Pull CBS, RUS)",ITHDTR(Pull TUSC + DTR),Pull 1 from sp tk 9 to INTM+INTP,,,,ITHALS,ITHDTR(57),ONRD,ITHRUS(120),ITHCBLB
,LI29 (81),ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),LI29 (81),7:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHRUS,ITHDTR,Pull 1 from sp tk 9 to INTM+INTP,,,,ITHALS,ITHDTR,ONRD,ITHRUS,ITHCBLB
,LI29 (81),ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),LI29 (81),7:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITHRUS,ITHDTR,Pull 1 from sp tk 9 to INTM+INTP,,,,ITHALS,ITHDTR,ONRD,ITHRUS,ITHCBLB
,LI29 (81),ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),LI29 (81),7:45 PM,,,1 TUSC+DTR,,,,1,1,2,4,,2,56(C),20(C),37(C),,5,1,64(C),2,3,4,,4,3,1,2,3,1,,2,,1,3,5,8,3,,,4,2,3,2,1,1,1,1,1,1,,,1,,1 RUS,1 CBS,1INTM 1INTP(C),,ITHRUS,ITHDTR,Pull 1 from sp tk 9 to INTM+INTP,,,,ITHALS,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),ESTITH (77),8:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull RIP,,,,,,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),ESTITH (77),8:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull RIP,,,,,,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),ESTITH (77),8:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull RIP,,,,,,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,ESTITH (77),EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),ESTITH (77),8:45 PM,,,,,,,1,3,1,2,1,1,4,1,,,3,3,2,4,2,3,2,2,,1,3,2,4,1,1,,1,1,7,2,1,1,1,,3,2,,,1,,1,,1,3,4,1,,,,,12(C),Pull RIP,,,,,,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,,EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),EFIITH (66),9:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHEST(Pull RLK, ESTR)",Pull 1 from sp tk 1 to INRD,Pull 1 from sp tk 4 to BRO+NCR+PITS,Pull 1 from sp tk 5 to ANS,ITHEST(120),,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,,EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),EFIITH (66),9:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHEST(Pull RLK, ESTR)",Pull 1 from sp tk 1 to INRD,Pull 1 from sp tk 4 to BRO+NCR+PITS,Pull 1 from sp tk 5 to ANS,ITHEST,,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,,EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),EFIITH (66),9:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHEST(Pull RLK, ESTR)",Pull 1 from sp tk 1 to INRD,Pull 1 from sp tk 4 to BRO+NCR+PITS,Pull 1 from sp tk 5 to ANS,ITHEST,,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,,EFIITH (66),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),EFIITH (66),9:45 PM,1 INRD(C),,,1BRO+NCR+PITS(C),1ANS(C),,,,,,,1,6,,2,,8,,12,,1,1,,,78(C),11,2,1,,,,,1,12,1,7,,,,2,,1,42(C),,,,,,,,,,,,,,,"ITHEST(Pull RLK, ESTR)",Pull 1 from sp tk 1 to INRD,Pull 1 from sp tk 4 to BRO+NCR+PITS,Pull 1 from sp tk 5 to ANS,ITHEST,,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,,,LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),CBLITHB (96),10:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHSEL(Pull PARA, CLEA, SEL)",Pull 1 from sp tk 2 to ANS,,,ITHEST,ITHSEL(97),,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,,,LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),CBLITHB (96),10:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHSEL(Pull PARA, CLEA, SEL)",Pull 1 from sp tk 2 to ANS,,,ITHEST,ITHSEL,,ITHDTR,ONRD,ITHRUS,ITHCBLB
INRD (51),,,,LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),CBLITHB (96),10:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHSEL(Pull PARA, CLEA, SEL)",Pull 1 from sp tk 2 to ANS,,,ITHEST,ITHSEL,,ITHDTR,,ITHRUS,ITHCBLB
INRD (51),,,NASITH (119),LI27 (82),LI76 (54),LI26 (116),CBLITHB (96),ALSITH (54),CBLITHB (96),10:45 PM,1 CLEA,1 ANS(C),,,3 SEL,22(C),2,2,3,,,4,2,1,3,,3,,4,66(C),1,2,,9,4,7,4,3,2,,2,,,4,2,3,2,2,,3,3,1,4,2,,2,2,4,1,,9(C),,,,,,,"ITHSEL(Pull PARA, CLEA, SEL)",Pull 1 from sp tk 2 to ANS,,,ITHEST,ITHSEL,,ITHDTR,,ITHRUS,ITHCBLB
INRD (51),,,NASITH (119),LI27 (82),LI76 (54),LI26 (116),,ALSITH (54),ALSITH (54),11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHNAS(Pull EVL, NAS)",Pull 1 from sp tk 3 to TUSC+DTR,Pull 4 from sp tk 6 to ESAL,,ITHEST,ITHSEL,ITHNAS(113),ITHDTR,,ITHRUS,
INRD (51),,,NASITH (119),LI27 (82),LI76 (54),LI26 (116),,ALSITH (54),ALSITH (54),11:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHNAS(Pull EVL, NAS)",Pull 1 from sp tk 3 to TUSC+DTR,Pull 4 from sp tk 6 to ESAL,,ITHEST,ITHSEL,ITHNAS,ITHDTR,,ITHRUS,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),LI26 (116),,ALSITH (54),ALSITH (54),11:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITHNAS(Pull EVL, NAS)",Pull 1 from sp tk 3 to TUSC+DTR,Pull 4 from sp tk 6 to ESAL,,ITHEST,ITHSEL,ITHNAS,,,ITHRUS,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),LI26 (116),,ALSITH (54),ALSITH (54),11:45 PM,,,1 TUSC+DTR(C),,1 EVL,1,1,32(C),2,3,1,,1,1,,,4,3,2,8,2,4,,,2,1,2,81(C),2,,,,2,4,4,,,1,1,,,1,,,,,2,,2,,,,4 ESAL (C),,,,1,"ITHNAS(Pull EVL, NAS)",Pull 1 from sp tk 3 to TUSC+DTR,Pull 4 from sp tk 6 to ESAL,,ITHEST,ITHSEL,ITHNAS,,,,
